iter	Passed	Remaining
0	1	129
1	2	111
2	3	103
3	4	99
4	5	95
5	5	91
6	6	91
7	7	91
8	8	90
9	9	89
10	11	94
11	13	97
12	14	95
13	15	93
14	16	92
15	17	90
16	18	89
17	19	87
18	20	85
19	20	83
20	21	82
21	23	81
22	24	80
23	25	80
24	26	78
25	27	78
26	28	76
27	29	75
28	30	74
29	31	73
30	32	71
31	32	70
32	33	68
33	34	67
34	35	65
35	36	64
36	37	63
37	38	62
38	38	60
39	39	59
40	40	58
41	41	56
42	42	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	55	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	70	21
77	71	20
78	72	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
